id,pubchem_name,pubchem_id,smiles,inchikey,mwt,clogp,pmic
54600065,halicin,11837140,Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,NQQBNZBOOHHVQP-UHFFFAOYSA-N,260.944887336,1.6361999999999999,
91102096,"1'-[2-[4-(trifluoromethyl)phenyl]ethyl]spiro[1h-3,1-benzoxazine-4,4'-piperidine]-2-one",10000456,O=C1Nc2ccccc2C2(CCN(CCc3ccc(C(F)(F)F)cc3)CC2)O1,HIDWEYPGMLIQSN-UHFFFAOYSA-N,390.155512572,4.801300000000004,
84632098,trimethoprim,5578,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IEDVJHCEMCRBQM-UHFFFAOYSA-N,290.137890436,1.2575999999999996,
68873314,sulfamethoxazole,5329,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,JLKIGFTWXXRPMT-UHFFFAOYSA-N,253.052112212,1.3660199999999998,
27056824,amikacin,37768,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,LKCWBDHBTVXHDL-RMDFUYIESA-N,585.2857364359998,-8.424200000000015,
80513532,isoniazid,3767,NNC(=O)c1ccncc1,QRXWMOHMRWLFEY-UHFFFAOYSA-N,137.058911844,-0.3149000000000001,
