id,smiles,inchikey,mwt,clogp,SMILES,Name,Rep 1,Rep 2,Mean,pmic
10955155,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,184.012021228,1.2086,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,"2,4-DINITROPHENOL",0.71714,0.69101,0.704075,
63513903,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1,YUULFXAQUWEYNP-GXAWFILRSA-N,914.1541727280003,4.446800000000015,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1,"2',2'-BISEPIGALLOCATECHIN DIGALLATE",1.112,0.9095,1.01075,
24937372,O=C(/C=C/c1ccc(O)cc1)c1ccccc1O,FGPJTMCJNPRZGF-UHFFFAOYSA-N,240.078644244,2.9939000000000013,O=C(/C=C/c1ccc(O)cc1)c1ccccc1O,"2',4-DIHYDROXYCHALCONE",0.88214,0.83519,0.858665,
19970211,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,ADRQFDIWPRFKSP-UHFFFAOYSA-N,270.089208928,3.0025000000000013,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,"2',4'-DIHYDROXY-4-METHOXYCHALCONE",1.0343,1.0423,1.0383,
56310019,O=C(/C=C/c1ccccc1)c1ccc(O)cc1O,JUMSUVHHUVPSOY-UHFFFAOYSA-N,240.078644244,2.9939000000000013,O=C(/C=C/c1ccccc1)c1ccc(O)cc1O,"2',4'-DIHYDROXYCHALCONE",0.84379,0.92657,0.88518,
14526444,O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O,SYDNPHFWTKACIZ-YMQHIKHWSA-N,402.1314676639999,0.46699999999999925,O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O,"2',4'-DIHYDROXYCHALCONE 4'-GLUCOSIDE",1.0181,0.96584,0.99197,
66475999,COc1ccc(/C=C/C(=O)c2cc(O)ccc2O)cc1,FUQGIYDZGLORRC-UHFFFAOYSA-N,270.089208928,3.0025000000000013,COc1ccc(/C=C/C(=O)c2cc(O)ccc2O)cc1,"2',5'-DIHYDROXY-4-METHOXYCHALCONE",1.0456,1.0832,1.0644,
35200973,N#CCCN.O=C(O)/C=C/C(=O)O,NYPGBHKJFKQTIY-UHFFFAOYSA-N,186.0640568,-0.42942000000000063,N#CCCN.O=C(O)/C=C/C(=O)O,3-AMINOPROPIONITRILE FUMARATE,0.95253,0.91986,0.936195,
60392242,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(C(C)=O)=CC[C@H]4C3CC[C@H]2C1,YFMSIVMSEGIVCP-UYKOYKHJSA-N,358.25079494799996,5.086100000000005,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(C(C)=O)=CC[C@H]4C3CC[C@H]2C1,3-beta-ACETOXYALLOPREG-16-EN-20-ONE,1.3016,1.1397,1.22065,
89416114,CC(=O)O[C@H]1C[C@@H](O)C(C)(C)C2C[C@@H](OC(C)=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@]21C,PDKGFQJSCXMICA-GBOCIRNBSA-N,544.2672328599999,4.118100000000004,CC(=O)O[C@H]1C[C@@H](O)C(C)(C)C2C[C@@H](OC(C)=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@]21C,3-DEACETYLKHIVORIN,1.0457,0.95996,1.00283,
