id,smiles,inchikey,mwt,clogp,SMILES,Klebsiella pneumoniae: predicted MIC (µM),Klebsiella pneumoniae: predicted MIC (µg / mL),Klebsiella pneumoniae: log10(variance),Klebsiella pneumoniae: Tanimoto nearest neighbor to training data,pmic
18458323,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,IWUCXVSUMQZMFG-UHFFFAOYSA-N,244.080769484,-3.0114999999999994,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,225.67486572265625,55.08289534433143,-2.4028208255767822,0.42307692766189575,
68677718,O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,LRBQNJMCXXYXIU-UHFFFAOYSA-N,1700.172974183999,4.838100000000016,O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,9.6138277053833,16.34517020782864,-2.2912373542785645,0.18840579688549042,
87117912,O.O.O.O=C([O-])C1O[Sb]2OC(=O)C(O2)C(C(=O)[O-])O[Sb]2OC(=O)C1O2.[K+].[K+],WBTCZEPSIIFINA-UHFFFAOYSA-J,665.73701438,-14.342099999999999,O.O.O.O=C([O-])C1O[Sb]2OC(=O)C(O2)C(C(=O)[O-])O[Sb]2OC(=O)C1O2.[K+].[K+],713.3645629882812,474.91318004314525,-2.037532091140747,0.14516128599643707,
47022595,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],KKAJSJJFBSOMGS-UHFFFAOYSA-N,259.087625128,-1.0140999999999993,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],2079.788330078125,538.8474493532665,-4.500482559204102,0.2222222238779068,
73074534,O=C(O)C(S)C(S)C(=O)O,ACTRVOBWPAIOHC-UHFFFAOYSA-N,181.970750672,-0.2476000000000001,O=C(O)C(S)C(S)C(=O)O,1192.456298828125,216.99217981562603,-2.7288930416107178,0.18918919563293457,
25850402,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O.CCCCCCCCCCCCCCCCCC(=O)O,YAVZHCFFUATPRK-UHFFFAOYSA-N,1017.7327715960001,8.118100000000009,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O.CCCCCCCCCCCCCCCCCC(=O)O,767.6260986328125,781.2382451609744,-1.6293221712112427,0.2698412835597992,
71264959,CCCCCCCCC=CCCCCCCCC(=O)[O-].[NH3+]CCO,KGWDUNBJIMUFAP-UHFFFAOYSA-N,343.308644172,2.9944,CCCCCCCCC=CCCCCCCCC(=O)[O-].[NH3+]CCO,211.4642791748047,72.59751726614395,-2.578056573867798,0.25999999046325684,
10331935,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,RGLYKWWBQGJZGM-UHFFFAOYSA-N,268.14632988,4.828600000000005,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,706.6925659179688,189.49702071735024,-1.9506406784057617,0.3333333432674408,
94639639,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,ZSJLQEPLLKMAKR-UHFFFAOYSA-N,265.09099982000004,-2.8909,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,69.9460678100586,18.542072448821067,-2.621746301651001,0.2631579041481018,
73998383,CN(C)C(CCOc1cccc2ccccc12)c1ccccc1.Cl,IHWDIQRWYNMKFM-UHFFFAOYSA-N,341.154642068,5.3334000000000055,CN(C)C(CCOc1cccc2ccccc12)c1ccccc1.Cl,96.08930969238281,32.78131448168849,-2.1106996536254883,0.3400000035762787,
