id,pubchem_name,pubchem_id,smiles,inchikey,mwt,clogp,full_strain_name,mic_method,pmic
10262212,teixobactin,86341926,CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC)C(=O)N[C@@H](CO)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](C[C@H]2CN=C(N)N2)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O[C@H]1C)[C@@H](C)CC)[C@@H](C)CC,LMBFAGIMSUYTBN-MPZNNTNKSA-N,1241.7132073399998,-4.258600000000013,Escherichia coli,Broth microdilution,
75783880,darobactin,154586077,NCCC[C@H]1c2ccc3c(c[nH]c3c2)[C@H]2Oc3cccc4c(c[nH]c34)C[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)NC2C(=O)N[C@@H](CO)C(=O)N[C@@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,HRMCRRLPTVSYHJ-CPGNCTABSA-N,965.4031661999999,-2.415099999999998,Escherichia coli,Broth microdilution,
76688380,clovibactin,146342518,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](N)Cc2ccccc2)[C@H](C(N)=O)OC(=O)[C@H](CC(C)C)NC1=O,SMQAHGKBWXPEHB-HHHSQLJLSA-N,902.52255306,-2.359800000000007,Escherichia coli,Broth microdilution,
