id,pubchem_name,pubchem_id,smiles,inchikey,mwt,clogp,full_strain_name,mic_method,pmic
81021875,murepavadin,91824766,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCN)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCN)NC1=O,RIDRXGOBXZLKHZ-NZUANIILSA-N,1552.8626655039996,-6.830399999999926,Escherichia coli,Broth microdilution,
40634032,"(2r)-2-((4-(((3,4-dihydro-2h-pyrano(2,3-c)pyridin-6-yl)methyl)amino)-1-piperidinyl)methyl)-1,2-dihydro-3h,8h-2a,5,8a-triazaacenaphthylene-3,8-dione",25101874,O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,PZFAZQUREQIODZ-LJQANCHMSA-N,448.222288756,1.0870999999999995,Escherichia coli,Broth microdilution,
60220333,zosurabalpin,148636827,CN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN)NCc2cccnc2Sc2cccc(-c3ccc(C(=O)O)cc3)c2CNC(=O)[C@@H]1Cc1c[nH]c2ccccc12,NJFUXFYUHIHHOJ-FSEITFBQSA-N,790.3624877000001,4.589700000000004,Escherichia coli,Broth microdilution,
56471460,plazomicin,42613186,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O,IYDYFVUFSPQPPV-PEXOCOHZSA-N,592.3431917360001,-5.361100000000008,Escherichia coli,Broth microdilution,
35182689,"methyl 7-chloro-6,7,8-trideoxy-6-{[(4s,5as,8s,8ar)-4-(2-methylpropyl)octahydro-2h-oxepino[2,3-c]pyrrole-8-carbonyl]amino}-1-thio-l-threo-alpha-d-galacto-octopyranoside",156613433,CS[C@H]1O[C@H]([C@H](NC(=O)[C@H]2NC[C@@H]3C[C@H](CC(C)C)CCO[C@H]32)[C@H](C)Cl)[C@H](O)[C@H](O)[C@H]1O,JPCLUJPDWMBCAA-SUTQZAMLSA-N,494.22173564800005,0.6984000000000015,Escherichia coli,Broth microdilution,
