id,smiles,inchikey,mwt,clogp,pubchem_name,pubchem_id,scaffold,tpsa,normalized_inhibition,SMILES,mic_method,full_strain_name,pmic
10980146,CN(C)CC(=O)N1CC(=O)N2[C@H](CO)[C@H](c3ccc(C#Cc4cccnc4)cc3)[C@H]2C1,KFJWWFDUKTYHIL-PQNGQFLHSA-N,418.200490692,0.5405000000000013,,,O=C1CNC[C@@H]2[C@@H](c3ccc(C#Cc4cccnc4)cc3)CN12,76.98,0.0285210289999999,CN(C)CC(=O)N1CC(=O)N2[C@H](CO)[C@H](c3ccc(C#Cc4cccnc4)cc3)[C@H]2C1,Broth microdilution,Staphylococcus aureus,
11132648,COc1ccc(CN(C)C[C@H]2OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccncc4)cc3C(=O)N([C@@H](C)CO)C[C@H]2C)cc1,SACXWSAQDFIOTK-ZIZQKJAQSA-N,632.357385256,5.270000000000006,"n-[(3s,9s,10r)-12-[(2s)-1-hydroxypropan-2-yl]-9-[[(4-methoxyphenyl)methyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]pyridine-4-carboxamide",54615973.0,O=C(Nc1ccc2c(c1)C(=O)NCC[C@@H](CNCc1ccccc1)OCCCCCO2)c1ccncc1,113.46,-0.0796803999999999,COc1ccc(CN(C)C[C@H]2OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccncc4)cc3C(=O)N([C@@H](C)CO)C[C@H]2C)cc1,Broth microdilution,Staphylococcus aureus,
11151134,CC(C)NC(=O)N(C)C[C@@H]1Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N([C@H](C)CO)C[C@@H]1C,KEJFTVNXBCIWBZ-YRNRMSPPSA-N,516.25595488,3.2375000000000016,"4,4,4-trifluoro-n-[(2r,3s)-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl(propan-2-ylcarbamoyl)amino]methyl]-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-8-yl]butanamide",44484148.0,O=C1NCCCOc2ccccc21,111.21,0.032939448,CC(C)NC(=O)N(C)C[C@@H]1Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N([C@H](C)CO)C[C@@H]1C,Broth microdilution,Staphylococcus aureus,
11165847,C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)Nc3ccc(F)cc3)c2O[C@H]1CN(C)Cc1ccc(Oc2ccccc2)cc1,SCAUOYDVVUBTHZ-PHLCOOFXSA-N,626.2904485679999,6.614100000000007,"1-(4-fluorophenyl)-3-[(2r,3r)-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenoxyphenyl)methyl]amino]methyl]-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-10-yl]urea",44495202.0,O=C(Nc1ccccc1)Nc1cccc2c1O[C@@H](CNCc1ccc(Oc3ccccc3)cc1)CCNC2=O,103.37,-0.0763907909999999,C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)Nc3ccc(F)cc3)c2O[C@H]1CN(C)Cc1ccc(Oc2ccccc2)cc1,Broth microdilution,Staphylococcus aureus,
11257498,COC(=O)C[C@H]1CC[C@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,QTFAPORQFWHYLC-BPAFIMBUSA-N,508.10709982,3.084500000000002,"2-[(2r,4as,12ar)-8-[(2-chlorophenyl)sulfonylamino]-5-methyl-6-oxo-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-2-yl]acetic acid methyl ester",54654444.0,O=C1N[C@H]2CCCO[C@H]2COc2ccc(NS(=O)(=O)c3ccccc3)cc21,111.24,-0.0724240739999999,COC(=O)C[C@H]1CC[C@H]2[C@H](COc3ccc(NS(=O)(=O)c4ccccc4Cl)cc3C(=O)N2C)O1,Broth microdilution,Staphylococcus aureus,
11438656,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc2ccc(NC(=O)Cn3cnnn3)cc2C1=O,XVYOOKZSJKWNFH-DDFCPOBKSA-N,599.2856172840002,3.4562000000000017,"n-[(2s,3s)-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenoxyphenyl)methyl]amino]methyl]-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-8-yl]-2-(tetrazol-1-yl)acetamide",44202786.0,O=C(Cn1cnnn1)Nc1ccc2c(c1)C(=O)NCC[C@@H](CNCc1ccc(Oc3ccccc3)cc1)O2,134.94,-0.1471774409999999,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc2ccc(NC(=O)Cn3cnnn3)cc2C1=O,Broth microdilution,Staphylococcus aureus,
11797999,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O,TVULDWINFMHBSA-FVJLSDCUSA-N,597.138561332,1.8232000000000002,"n-[[(2r,3s)-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-8-(thiophen-2-ylsulfonylamino)-3,4-dihydro-2h-1,5-benzoxazocin-2-yl]methyl]-n,1-dimethylimidazole-4-sulfonamide",54614564.0,O=C1NCC[C@H](CNS(=O)(=O)c2c[nH]cn2)Oc2ccc(NS(=O)(=O)c3cccs3)cc21,151.14,0.06703656,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O,Broth microdilution,Staphylococcus aureus,
13347477,C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccc2c(c1)OCCN2C,VRVGAAPGNIASDT-RNHFSVANSA-N,500.31110376,1.7632000000000005,"(8r,9r)-6-[(2s)-1-hydroxypropan-2-yl]-8-methyl-9-[[methyl-[(4-methyl-2,3-dihydro-1,4-benzoxazin-7-yl)methyl]amino]methyl]-10-oxa-1,6,13,14-tetrazabicyclo[10.2.1]pentadeca-12(15),13-dien-5-one",44488168.0,O=C1CCCn2cc(nn2)CO[C@@H](CNCc2ccc3c(c2)OCCN3)CCN1,96.19,0.003680216,C[C@@H]1CN([C@@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)Cc1ccc2c(c1)OCCN2C,Broth microdilution,Staphylococcus aureus,
14549897,C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc(C(F)(F)F)cc2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1,GTUQXIUJJGJFLR-NBTLCYJSSA-N,709.3120898520001,5.167200000000005,"n-[(3r,9r,10s)-12-[(2s)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl-[[4-(trifluoromethyl)phenyl]methyl]amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-1-methylimidazole-4-sulfonamide",54615829.0,O=C1NCC[C@H](CNCc2ccccc2)OCCCCCOc2ccc(NS(=O)(=O)c3c[nH]cn3)cc21,126.23,-0.0816789179999999,C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc(C(F)(F)F)cc2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1,Broth microdilution,Staphylococcus aureus,
15379742,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(C#CCN(C)C)cnc2O[C@@H]1CN(C)C(=O)Nc1cccc(F)c1,SBAPUWDMESMVAK-KHCICDEESA-N,511.259482788,2.5178000000000003,"1-[[(2s,3r)-8-[3-(dimethylamino)prop-1-ynyl]-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2h-pyrido[2,3-b][1,5]oxazocin-2-yl]methyl]-3-(3-fluorophenyl)-1-methylurea",54626507.0,O=C(NC[C@@H]1CCNC(=O)c2cccnc2O1)Nc1ccccc1,98.24,-0.042024244,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(C#CCN(C)C)cnc2O[C@@H]1CN(C)C(=O)Nc1cccc(F)c1,Broth microdilution,Staphylococcus aureus,
