id,inchikey,pubchem_name,pubchem_id,smiles,scaffold,mwt,clogp,tpsa,normalized_inhibition,SMILES,mic_method,full_strain_name
SCB-69003909,XQZWFLNOSLFTQV-XMERXJNXSA-N,"4-(dimethylamino)-n-[(2s,3r)-2-[[(4-fluorophenyl)sulfonyl-methylamino]methyl]-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-8-yl]butanamide",44491817.0,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2O[C@@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,O=C1NCC[C@@H](CNS(=O)(=O)c2ccccc2)Oc2ccccc21,578.2574341879999,2.6468000000000007,119.49,0.049270577,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2O[C@@H]1CN(C)S(=O)(=O)c1ccc(F)cc1,Broth microdilution,Staphylococcus aureus USA300
SCB-71557608,QYWLPXAUJWIZSG-DCLXLUIPSA-N,"n-[[(4s,5s)-2-[(2r)-1-hydroxypropan-2-yl]-4-methyl-1,1-dioxo-8-(2-phenylethynyl)-4,5-dihydro-3h-6,1lambda6,2-benzoxathiazocin-5-yl]methyl]-2-methoxy-n-methylacetamide",54623826.0,COCC(=O)N(C)C[C@H]1Oc2cc(C#Cc3ccccc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,O=S1(=O)NCCCOc2cc(C#Cc3ccccc3)ccc21,500.198107744,1.9598000000000004,96.38,-0.055134905,COCC(=O)N(C)C[C@H]1Oc2cc(C#Cc3ccccc3)ccc2S(=O)(=O)N([C@H](C)CO)C[C@@H]1C,Broth microdilution,Staphylococcus aureus USA300
SCB-74045358,SBCSAGYIHFXSSQ-SYZUXVNWSA-N,"n-[[(10r,11s)-13-[(2s)-1-hydroxypropan-2-yl]-11,16-dimethyl-14-oxo-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-10-yl]methyl]-n-methyl-4-(trifluoromethyl)benzenesulfonamide",60185765.0,C[C@H]1CN([C@@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@H]1CN(C)S(=O)(=O)c1ccc(C(F)(F)F)cc1,O=C1NCC[C@H](CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,643.232776912,5.542700000000006,92.08,-0.129803581,C[C@H]1CN([C@@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@H]1CN(C)S(=O)(=O)c1ccc(C(F)(F)F)cc1,Broth microdilution,Staphylococcus aureus USA300
SCB-74313427,RJURFGZVJUQBHK-IIXSONLDSA-N,dactinomycin,457193.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,O=C1CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@@H](NC(=O)c2cc(=O)cc3oc4cccc(C(=O)N[C@H]5COC(=O)CNC(=O)CNC(=O)[C@@H]6CCCN6C(=O)CNC5=O)c4nc2-3)COC(=O)CN1,1254.6284746719998,0.7256400000000085,359.98,0.684174592,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,Broth microdilution,Staphylococcus aureus USA300
SCB-74454503,RQWZPZKMXFSKNS-YYULODDRSA-N,"1-(3,5-dimethyl-4-isoxazolyl)-3-[(2s,3s)-5-[(2r)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[[4-(trifluoromethyl)phenyl]methyl]amino]methyl]-6-oxo-3,4-dihydro-2h-1,5-benzoxazocin-10-yl]urea",44489645.0,Cc1noc(C)c1NC(=O)Nc1cccc2c1O[C@H](CN(C)Cc1ccc(C(F)(F)F)cc1)[C@@H](C)CN([C@H](C)CO)C2=O,O=C(Nc1cnoc1)Nc1cccc2c1O[C@H](CNCc1ccccc1)CCNC2=O,603.2668539120001,5.306340000000005,120.17,-0.1544092429999999,Cc1noc(C)c1NC(=O)Nc1cccc2c1O[C@H](CN(C)Cc1ccc(C(F)(F)F)cc1)[C@@H](C)CN([C@H](C)CO)C2=O,Broth microdilution,Staphylococcus aureus USA300
SCB-74708964,CBROZUUXCUMDHN-VDHCQVKSSA-N,,,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](O[C@H]2[C@H](OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)[C@@H]1OC(C)=O,C1CC[C@H](OC[C@@H]2CC[C@@H](O[C@H]3CCCCO3)CO2)OC1,870.4613007800002,3.3646000000000043,235.43,-0.211609272,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](O[C@H]2[C@H](OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)[C@@H]1OC(C)=O,Broth microdilution,Staphylococcus aureus USA300
SCB-75185592,ASDRMLMJHADUBN-SCYMSESXSA-N,"(3r,3'r,4's,6'r,8's,8'as)-5-[3-(carbamoylamino)prop-1-ynyl]-6'-[4-(2-hydroxyethoxy)phenyl]-1',2-dioxo-3',4'-diphenylspiro[1h-indole-3,7'-4,6,8,8a-tetrahydro-3h-pyrrolo[2,1-c][1,4]oxazine]-8'-carboxamide",6729397.0,NC(=O)NCC#Cc1ccc2c(c1)[C@]1(C(=O)N2)[C@H](C(N)=O)[C@H]2C(=O)O[C@H](c3ccccc3)[C@H](c3ccccc3)N2[C@@H]1c1ccc(OCCO)cc1,O=C1O[C@H](c2ccccc2)[C@H](c2ccccc2)N2[C@H]1C[C@]1(C(=O)Nc3ccccc31)[C@H]2c1ccccc1,685.2536484599999,2.8338,186.31,0.169259143,NC(=O)NCC#Cc1ccc2c(c1)[C@]1(C(=O)N2)[C@H](C(N)=O)[C@H]2C(=O)O[C@H](c3ccccc3)[C@H](c3ccccc3)N2[C@@H]1c1ccc(OCCO)cc1,Broth microdilution,Staphylococcus aureus USA300
SCB-75389474,CAYVERVTSCJBAC-INVAMZEASA-N,"n-[[(3r,9r,10s)-16-(benzenesulfonamido)-12-[(2s)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-n,1-dimethylimidazole-4-sulfonamide",44616963.0,C[C@@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2O1,O=C1NCC[C@H](CNS(=O)(=O)c2c[nH]cn2)OCCCCCOc2ccc(NS(=O)(=O)c3ccccc3)cc21,691.2709554,3.337100000000002,160.37,-0.114489442,C[C@@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2O1,Broth microdilution,Staphylococcus aureus USA300
SCB-79461195,VWWQXMAJTJZDQX-UYBVJOGSSA-N,flavin adenine dinucleotide,643975.0,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1,785.1571346159997,-2.4239599999999992,362.9299999999999,0.0165893219999999,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,Broth microdilution,Staphylococcus aureus USA300
SCB-83315978,KMGHCLOSSHMOFS-ZDUSSCGKSA-N,"(3s)-n-(1,3-benzodioxol-5-ylmethyl)-1-[(6-methyl-2,4-dioxo-1h-pyrimidin-5-yl)sulfonyl]piperidine-3-carboxamide",92441303.0,Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCC[C@H](C(=O)NCc2ccc3c(c2)OCO3)C1,O=C(NCc1ccc2c(c1)OCO2)[C@H]1CCCN(S(=O)(=O)c2c[nH]c(=O)[nH]c2=O)C1,450.120920044,-0.1825799999999993,150.65999999999997,-0.016207225,Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCC[C@H](C(=O)NCc2ccc3c(c2)OCO3)C1,Broth microdilution,Staphylococcus aureus USA300
