Compound_ID,SMILES,Sau_Mean_10uM,HepG2_Mean_10uM,HSkMC_Mean_10uM,IMR90_Mean_10uM,id
BRD-K42553302,CO[C@H](CN(C)S(=O)(=O)c1ccc(cc1)F)[C@@H](C)CN([C@@H](C)CO)S(=O)(=O)c1cccc(c1)Cl,1.305914197,0.970346461,0.988339116,1.041627472,10271029
BRD-K92486419,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(cnc2O[C@@H]1CN(C)S(=O)(=O)c1ccccc1F)C#Cc1ccccc1F,1.281911752,0.974089586,0.999864293,1.036875854,10293489
BRD-A53351213,CCOC(=O)CCCCCCCCCCCC[C@H]1CCC=C1,1.035441266,1.122431388,1.040808702,1.080646274,10306057
BRD-K81283869,C[C@H]1CCCCO[C@H](CN(C)S(=O)(=O)c2ccc(cc2)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,1.195931332,1.008678089,1.066162712,1.042958179,10311060
BRD-K62574157,C[C@@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@H]1CN(C)S(=O)(=O)c1cn(cn1)C)C#Cc1ccc(cc1)F,1.178874169,0.948148116,0.991406187,1.013861572,10338306
BRD-K56908085,COc1ccc(cc1)CN(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)NC(=O)c1ccccc1,1.17106563,0.993905892,1.029795861,0.923481197,10341247
BRD-K08707326,CC(C)OCCCNC1=NC(=O)NN=C1C,1.03651531,1.136045487,1.015947903,1.000480127,10353319
BRD-K84281997,C[n+]1ccccc1/C=N/O,0.948089067,1.032635057,0.993872851,1.023236915,10353419
BRD-K49249695,COc1ccc(cc1)S(=O)(=O)Nc1ccc2c(c1)C(=O)N(C[C@@H](C)[C@@H](CN(C)Cc1ccc(cc1)-c1ccccc1)O2)[C@H](C)CO,1.048533992,0.893467051,0.757442865,0.751683274,10353481
BRD-K04870124,CC(C)(C)NC(=O)N1CCC(CN)CC1,0.989122362,1.016356761,1.021760762,0.982157892,10364583
BRD-K66812281,C[C@@H]1CCCCO[C@H](CN(C)CC2CC2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1cn(cn1)C,0.915342455,1.122275752,0.986128478,1.066998044,10372462
BRD-K72375447,C[C@H](NC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(cc32)NC(=O)Nc2ccc(cc2)C(F)(F)F)[C@@H](CO)O1)c1ccccc1,0.852654157,0.971134547,0.993564257,0.986689569,10373487
BRD-K43165029,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)S(=O)(=O)c1ccc(cc1)F)NS(=O)(=O)c1ccccc1,0.942060729,1.01347441,0.971821999,0.933662214,10373913
BRD-K09857326,FC(F)(F)c1ccc(cc1)/C=N/c1cc(cc(c1)Cl)Cl,1.009372248,1.049296372,0.997830669,0.986506344,10388881
BRD-K42270844,CS(=O)(=O)N1CCS(=O)(=O)[C@H]2CCN(CC[C@@H]21)CC1CC1,0.939464216,1.014650672,0.936914383,0.955137283,10395422
VIOLASTYRENE,COc1cc(CC=Cc2ccccc2)c(OC)cc1O,0.91568,0.999504868,0.987539055,0.829528373,10412354
4'-HYDROXYCHALCONE,O=C(C=Cc1ccccc1)c1ccc(O)cc1,1.0627,0.657004069,0.971384381,0.801301211,10417842
BRD-K91506148,C[C@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)S(=O)(=O)c1ccccc1)NS(=O)(=O)c1cccs1,1.10659812,1.100754237,1.021852303,0.837926787,10427053
BRD-K46038072,COc1cccc(c1)C#Cc1cnc2c(c1)C(=O)N(C[C@H](C)[C@@H](CN(C)C(=O)C1CCC1)O2)[C@@H](C)CO,1.097048121,0.985784285,1.036866224,0.93244056,10429209
BRD-K01124190,COc1ccc(cc1)NC(=O)Nc1ccc2c(c1)C(=O)N(C[C@H](C)[C@@H](CN(C)Cc1ccncc1)OCCCC[C@H](C)O2)[C@@H](C)CO,1.189701599,1.008993906,1.010688443,1.04973777,10429742
