Compound_ID,SMILES,Sau_Mean_10uM,HepG2_Mean_10uM,HSkMC_Mean_10uM,IMR90_Mean_10uM,id
BRD-K94440403,C[C@H]1CN([C@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)S(=O)(=O)c1c(noc1C)C)NC(=O)Cc1cn(c2ccccc12)C,0.952006946,1.020842311,1.000182413,0.999005218,11288795
BRD-K26642053,C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc(c(c2)Cl)Cl)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,1.13300604,0.932437714,0.750858454,0.916058629,11289230
BRD-K66950200,C[C@@H]1CCCCO[C@H](CN(C)Cc2ccc(cc2)C(=O)O)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Cc1ccccc1,0.899998615,1.066024974,0.989560764,0.991784331,11292874
BRD-K42869270,C[C@@H]1CCCCO[C@H](CN(C)C(=O)Nc2ccccc2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Cc1ccccc1,0.916173708,1.008095286,0.976351608,1.005666995,11294110
BRD-K25301427,C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)C(=O)C)C#CCN(C)C,0.993082734,1.026989219,1.017368517,0.896102697,11299871
BRD-K12960161,CN(C)CCCNC(=O)C[C@H]1CC[C@H](NS(=O)(=O)c2ccccc2)[C@H](CO)O1,0.849976611,1.005019057,0.989420563,1.044860916,11321421
CALCIUM GLUCEPTATE,O=C([O-])C(O)C(O)C(O)C(O)C(O)CO.O=C([O-])C(O)C(O)C(O)C(O)C(O)CO.[Ca+2],1.02855,1.154646273,0.981625246,1.2149436,11327263
QUINETHAZONE,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,1.09055,1.012820536,1.015327699,0.878338424,11349361
BRD-K20742705,C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(c(c2)Cl)Cl)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1c(noc1C)C,1.326027916,0.987136299,0.994301293,1.036885138,11350942
BRD-K79014470,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(cnc2O[C@H]1CN(C)C(=O)CN1CCOCC1)C#CCN(C)C,0.95674858,1.00161419,0.996112836,0.952144809,11370341
BRD-K49488027,C[C@H]1CCCCO[C@H](CN(C)C(=O)NC2CCCCC2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccccc1,0.917957461,0.933810425,0.968255965,0.991352204,11372891
BRD-K18883943,O=C1CCOCC1,0.819855224,1.046793605,0.978497172,1.075921032,11377949
BRD-K03445538,C[C@@H]1CCCCO[C@H](CN(C)Cc2ccc(c(c2)Cl)Cl)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)Cl,0.872146236,0.887668429,0.97628755,0.91568848,11383410
BRD-A49869876,NC[C@@H](N1CCCCCC1)c1cccs1,1.087258449,1.002610291,0.996452016,0.986063423,11392308
BRD-K24114510,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)S(=O)(=O)c1cn(cn1)C)NC(=O)C1CCCCC1,0.871942719,0.992590278,1.011180758,0.965385942,11395300
BRD-K20971113,C[C@H]1CN([C@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)C(=O)Nc1cccc2ccccc12)NC(=O)c1ccc(cc1)-c1nccs1,0.781142298,1.05899213,1.003327845,1.044174462,11400702
BRD-K27925875,COc1ccc2c3c(n(c2c1)C)[C@H](CO)N(C[C@]13CCN(CC1)C(=O)Nc1cccc(c1)F)C(=O)CN1CCOCC1,1.37783835,1.076782822,0.991350721,1.001184364,11403420
BRD-K40566034,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@@H]1CN(C)Cc1ccc(cc1)-c1ccccc1)NC(=O)c1ccncc1,1.102434903,0.967549309,0.940348298,0.933697729,11423755
BRD-K13634603,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@@H]1CN(C)Cc1ccc(cc1)Oc1ccccc1)NC(=O)Cn1cnnn1,1.147177441,1.190316955,1.003077171,0.981935536,11438656
BRD-K36317223,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)Cc1ccc(cc1)-c1ccccc1)NC(=O)c1ccncc1,1.06059365,1.019811272,1.056140993,0.932607139,11440783
BRD-K48656305,C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)C(=O)C1CCC1)-c1ccc(cc1)C(=O)N(C)C,0.935826976,1.014349162,0.988472545,1.07144769,11441513
BRD-K50281979,Cc1ccc(cc1)S[C@@]1(CC(=O)N(Cc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@H]1c1ccc(cc1I)CO)C(=O)O,1.215487125,1.016776007,1.006400381,0.820579427,11443962
BRD-K03712862,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,0.958772151,0.985282983,0.996271198,1.002524069,11445775
BRD-K91483960,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(cnc2O[C@H]1CN(C)S(=O)(=O)c1ccc(cc1)F)-c1cccc(c1)C(=O)N(C)C,0.834646694,1.022721372,1.018461008,0.980052022,11452126
BRD-K64592313,COc1ccc(cc1)CN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)NS(=O)(=O)c1ccc(cc1)F,1.214868307,0.922886319,1.019950315,0.994422915,11460148
BRD-K37318056,FC(F)(F)c1ccc(cc1)C[C@@H]1CCn2cc(nn2)COC[C@@H]2CCCCN2C(=O)[C@@H](CCn2cc(nn2)COC[C@@H]2CCCCN2C1=O)Cc1ccc(cc1)C(F)(F)F,1.084263839,1.015257959,1.026633202,1.013203484,11460460
BRD-K90753276,C[C@@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)C(=O)NC1CCCC1)-c1cncnc1,1.015668129,0.986587723,0.997580926,1.029568692,11489517
BRD-K11707011,C[C@H]1CN([C@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)C(=O)Nc1cccc2ccccc12)NS(=O)(=O)c1cccs1,1.125524668,1.025168069,0.984381947,1.041505374,11498497
BRD-K15650036,C[C@@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)C(=O)C1CCOCC1)-c1ccc(cc1)C(=O)N(C)C,1.480164068,0.99125181,1.009300424,0.968280938,11508752
BRD-K63213212,C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)S(=O)(=O)c1ccccc1)NC(=O)C1CC1,0.938486594,1.049178361,0.976529062,0.966118644,11514262
BRD-K89961076,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2cccs2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccc(cc1)C(F)(F)F,1.086602576,0.952290843,1.007487689,0.909517159,11515415
BRD-K82370171,COc1ccccc1CNC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(cc32)NC(=O)C2CCOCC2)[C@@H](CO)O1,1.00438985,1.055635952,1.008853777,1.004068781,11525541
BRD-K26362026,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)Cc1ccc(c(c1)Cl)Cl)NC(=O)CCC(F)(F)F,1.176791177,0.984827983,1.032497986,1.039090078,11525861
BRD-K23934948,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)S(=O)(=O)c1c(noc1C)C)NS(=O)(=O)c1ccccc1,1.10494344,1.045263819,0.997795201,1.025956704,11530395
PRIMAQUINE PHOSPHATE,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O,1.003025,0.585347004,1.031617592,0.624183356,11676769
BRD-K93097716,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)C(=O)Nc1cccc2ccccc12)NS(=O)(=O)c1cccs1,1.132732029,0.973081191,0.983107171,0.991974538,11707328
BRD-K15262564,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C/C(=C/C(=O)OCCCCCCCCC(=O)O)C)[C@H](O)[C@@H]1O,0.315229419,1.03631809,1.098594815,1.127308446,11723572
BRD-K01023436,C[C@@H]1CCCCO[C@H](CN(C)C(=O)Nc2c(noc2C)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)C1CCCCC1,0.889426325,1.003505492,1.031593706,0.963702253,11820222
BRD-K28983141,OC[C@H]1O[C@H](CCNS(=O)(=O)c2cccc(c2)F)CC[C@@H]1NS(=O)(=O)c1cccc(c1)Cl,1.042108087,1.029073226,0.958757696,0.996557779,11997197
BRD-K93496951,C[C@@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)Cc1cccnc1)C#CCN(C)C,1.021425114,1.001154636,0.996332447,0.995079611,12147583
BRD-K47105324,C[C@H]1CCCCO[C@@H](CN(C)CC2CC2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1cn(cn1)C,1.135519734,1.002808365,1.044459288,0.982286011,12273257
BRD-K42324718,COCCCN1C(=O)[C@]2(Cc3ccccc31)[C@@H](N(C1CCCCC1)C(=O)c1ccccc12)c1ccc(cc1)CO,0.922002223,1.094088841,0.990767953,1.010747338,12325479
BRD-K71454044,C[C@H]1CN([C@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)C(=O)Nc1ccccc1)NS(=O)(=O)c1c(noc1C)C,1.000704425,1.000238936,0.982340033,1.006331045,12422838
BRD-K79353080,NC1=NC(=O)N(C=C1)[C@@H]1O[C@@H](C[C@H]1O)CO,1.214774857,1.000276991,0.921778875,0.966503929,12470193
BRD-K00183292,C[C@@H](O)C#Cc1cnc2c(c1)C(=O)N(C[C@H](C)[C@@H](CN(C)C(=O)C)O2)[C@@H](C)CO,0.896714036,0.976747608,0.993052253,0.951666031,12675744
BRD-K19138177,CO[C@H]1CN([C@H]2COC[C@@H]12)S(=O)(=O)c1cn(cn1)C,0.97937954,0.999385017,1.014234672,0.916147293,12994361
BRD-K50046044,CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)NS(=O)(=O)c1ccc(cc1)Cl,1.199691767,1.031180496,0.974107066,1.076723072,13017347
BRD-K62460895,CCC(=O)N[C@@H]1CC[C@@H](CC(=O)OC)O[C@@H]1CO,1.062085765,0.940620093,1.047277064,0.959908784,13059805
BRD-K24667454,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2ccc(cc2)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1cccc2ccccc12,1.071077882,0.924352347,0.982621731,1.029458268,13124406
BRD-K28004127,C[C@@H]1CCCCO[C@H](CN(C)S(=O)(=O)c2ccc(cc2)Cl)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)CCCCCC(=O)Nc1ccccc1N,0.902067173,1.045937675,1.000897632,0.98450859,13414000
BRD-K30012631,COc1cccc(c1)S(=O)(=O)N(C)C[C@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)C#CC(C)C,1.021465589,1.004398828,1.010698216,0.939662324,13443975
BRD-K91545726,CC1=C(CC=C)C(=O)N=C(N)N1,1.002067741,1.080445134,1.002049984,0.976824615,13466985
BRD-A76764305,CN(C)C(=O)c1ccc(cc1)-c1cccc(c1)-c1nc(cc2c1[C@@H](CCO)N(C2)[S@@](=O)C(C)(C)C)C(=O)NCc1ccccc1,1.064061595,1.003157498,0.731633641,1.00554709,13469864
BRD-K13831433,C[C@H]1CCCCO[C@H](CN(C)C(=O)Nc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)C,0.932281182,1.034241239,1.031980403,1.032160808,13599462
BRD-K84515353,C[C@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)Cc1ccc(cc1)-c1ccccc1)NC(=O)Nc1ccc(cc1)C(F)(F)F,0.940816182,0.994742749,1.007441141,1.001621533,13674886
BRD-K24451999,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(cnc2O[C@H]1CN(C)C(=O)Nc1c(noc1C)C)Br,1.083404462,0.948714477,0.975502479,1.048384398,13746709
BRD-K42259873,C[C@@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)C(=O)NC1CCCCC1)-c1cccnc1,0.962357684,1.016556845,0.979267358,0.914252991,13823111
BRD-K09528084,OC(=O)Cc1cnc[nH]1,1.010758059,1.002133555,0.986230939,0.98676295,14051727
BRD-K73830037,OC[C@@H]1[C@H]2CN3C(=O)C=CC=C3[C@@H]([C@H]1C(=O)NCCCN1CCOCC1)N2C(=O)C1CCCCC1,1.111309378,0.983217713,0.962204536,1.008085464,14101248
BRD-K42182795,COc1ccc(cc1)COC[C@]12Oc3ccccc3[C@@H](NC(=S)N2C)[C@H]1CO[Si](C)(C)C(C)(C)C,0.562078959,0.861678525,0.975095821,0.993939362,14208722
BRD-K70284064,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C[C@H](C)[C@@H](CN(C)C(=O)NC1CCCCC1)O2)[C@@H](C)CO,1.16202653,0.967903994,1.014398302,1.154114521,14520156
BRD-K32599159,C[C@@H]1CCCCO[C@H](CN(C)C(=O)Nc2ccc(cc2)F)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,0.88835781,0.988438679,1.052927301,0.995603482,14571381
BRD-K57216724,C[C@@H]1CN([C@@H](C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2CO[C@@H]1CN(C)C(=O)N[C@@H](C)c1ccccc1,1.111396984,0.941107634,1.009806007,1.077982905,14735419
BRD-K67723520,C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccc2c(c1)OCO2,0.942764322,0.946764936,1.014528478,0.983782029,14793983
BRD-K13992427,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@@H]1CN(C)Cc1ccc(cc1)C(F)(F)F)NC(=O)Nc1ccc(cc1)F,1.024751036,0.615120032,0.648051539,0.953948643,14822686
BRD-K93173459,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)C(=O)Nc1cccc2ccccc12)NC(=O)Nc1ccc(cc1)C(F)(F)F,0.973727872,1.086698307,0.957200096,1.134070763,14919612
BRD-K76574692,O[C@@H]1COC[C@H]2O[C@H](CC[C@@H]2N(C1)S(=O)(=O)c1ccccc1)CC(=O)NCc1ccc(cc1)-c1ccccc1,1.119165036,1.037144943,1.040003528,1.034893342,14931982
BRD-K60256985,C[C@H]1CCCCO[C@H](CN(C)C(=O)Nc2ccccc2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)C,0.941190221,0.939673088,1.006288044,0.954924044,14977757
BRD-K91676655,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)S(=O)(=O)c1cn(cn1)C)NC(=O)C1CC1,1.071805865,1.005395844,1.017986866,1.050741543,14992229
BRD-K16643204,COc1ccc2c3c(n(c2c1)C)[C@@H](CO)N(C[C@]13CCN(CC1)C(=O)Nc1cccc(c1)F)C(=O)CN1CCOCC1,1.102500268,1.024611969,0.968646926,0.974067269,15010897
BRD-K92804141,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)C(=O)Nc1ccc(cc1)F)NS(=O)(=O)C,0.882306587,0.999079464,1.021349728,0.937269532,15022553
BRD-K07794530,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccncc1,1.081640015,1.002827468,1.022493628,1.108480478,15161118
BRD-K02427544,C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)S(=O)(=O)c1ccc(cc1)C)NC(=O)c1ccncc1,1.035505259,1.002499959,1.024047822,0.953605999,15162855
BRD-K56576097,COCC#Cc1ccc2c(c1)O[C@H](CN(C)Cc1ccccc1F)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,1.28370179,1.003466784,0.998005904,0.987008529,15168695
BRD-K47264279,O=C1Oc2cc3occc3cc2C=C1,1.01706702,1.000105271,0.997373726,0.995058781,15207146
BRD-K05646132,CCS(=O)(=O)N1CC[C@]2(CC1)CN(Cc1ccccc1OC)[C@H](CO)c1c2c2ccc(cc2n1C)OC,0.876239756,1.029802538,1.01091493,1.037843002,15297282
BRD-K02011544,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)S(=O)(=O)C)NS(=O)(=O)c1ccc(cc1)F,0.898265454,1.002979203,1.025942433,1.000746042,15481616
BRD-K89020690,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)Cc1ccc(cc1)C(F)(F)F)NC(=O)Nc1c(noc1C)C,1.05827412,0.930085085,1.005876612,0.954070588,15499531
BRD-K14605039,COc1ccc(cc1)NC(=O)Nc1ccc2c(c1)C(=O)N(C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c1ccc(cc1)OC)OCCCC[C@@H](C)O2)[C@@H](C)CO,0.967944862,1.03015607,1.07116838,1.022491715,15518936
BRD-K89004174,C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(cc2)C(=O)O)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccccc1,1.082259483,0.993305399,1.009485792,0.987533452,15653559
BRD-K89312039,C[C@@H]1CCCCO[C@H](CN(C)Cc2ccccc2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)Cl,0.991494516,0.999145644,1.019385359,0.96827237,15734784
BRD-K34431359,OC[C@@H]1O[C@H](CC[C@H]1NC(=O)c1ccccn1)CC(=O)N1CCOCC1,0.959988953,1.034697496,1.032761244,0.996951915,15758261
BRD-K34361635,COc1ccc(cc1)NC(=O)Nc1ccc2c(c1)CC(=O)N(C[C@@H](C)[C@H](CN(C)S(=O)(=O)c1c(noc1C)C)O2)[C@H](C)CO,0.961991401,0.972123366,0.994381422,0.996912318,16109716
BRD-K63990610,Oc1ccc(nc1)C#N,1.128144508,0.960846237,0.994872776,0.993122681,16182041
BRD-K16934333,OC[C@@H]1O[C@@H](C[C@@H]2[C@H]1Oc1ccc(cc12)NC(=O)c1ccc2c(c1)OCO2)CC(=O)NCc1cccnc1,1.001303986,0.97141144,0.9993879,1.053644443,16220402
BRD-A61864256,Cc1cccnc1[C@@H](NC(=O)C1CCN(CCOc2ccc(cc2Cl)Cl)CC1)c1ccc(cc1)Cl,0.183966186,0.979503685,1.005282878,1.051505612,16225931
BRD-K15350029,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@H]1CN(C)S(=O)(=O)c1cn(cn1)C)NC(=O)Nc1ccc2c(c1)OCO2,0.912122257,0.934633967,1.021116498,1.043103441,16384249
BRD-K09825305,OC(=O)CN1Cc2ccccc2C1=O,1.234905913,0.973526147,1.003922133,0.997631887,16476515
BRD-K56758930,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2ccc(cc2)F)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccccc1,0.895113134,1.064463991,0.993067831,1.0334314,16540456
BRD-K29891922,CC(C)NC(=O)N(C)C[C@@H]1Oc2c(cccc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)NS(=O)(=O)c1c(noc1C)C,1.050674293,1.013498545,1.036458285,0.961110127,16659906
BRD-K05506538,C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)S(=O)(=O)C)NC(=O)Nc1ccccc1,0.982456343,1.003472405,1.004382611,1.036375732,16833377
BRD-K40474424,CO[C@@H]1CN(C)C(=O)c2ccc(cc2OC[C@@H](C)N(C[C@H]1C)S(=O)(=O)C)NS(=O)(=O)C,1.035803743,0.963858404,0.97280531,0.999616839,17096988
BRD-K35147796,COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]1Oc2ccc(cc2C(=O)N(C[C@@H]1C)[C@H](C)CO)NC(=O)c1ccncc1,1.050719089,0.981365009,1.004412385,1.047114278,17257917
BRD-K08777248,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2ccc(cc2)F)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccccc1,0.938727739,1.015369144,1.014645791,1.055788338,17329476
BRD-K51112879,CO[C@@H]1CN(C)C(=O)c2ccc(cc2OC[C@@H](C)N(C[C@@H]1C)C(=O)Cc1ccccn1)NC(=O)C1CC1,0.985410553,1.066660434,0.999216456,0.956476293,17330131
BRD-K30962405,CC(C)NC(=O)Nc1ccc2c(c1)CC(=O)N(C[C@H](C)[C@H](CN(C)S(=O)(=O)c1ccccc1)O2)[C@H](C)CO,1.028251319,0.984449122,0.999889394,1.06612238,17420122
BRD-K70062240,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(ccc2O[C@@H]1CN(C)Cc1ccc(cc1)C(=O)Nc1ccccc1N)NC(=O)Nc1ccc(cc1)F,0.819750088,1.016574702,0.947379452,1.007568291,17919809
BRD-K95591068,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)S(=O)(=O)C)NC(=O)Cc1cn(c2ccccc12)C,1.015725595,1.034509074,0.975929224,1.00765619,17930200
BRD-K77073709,CO[C@]1(NC(=O)CSC[C@@H](N)C(=O)O)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C,0.874075096,1.058621513,0.979986692,0.948308249,18087650
BRD-K24380774,COc1ccc(cc1)S(=O)(=O)Nc1ccc2c(c1)CC(=O)N(C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c1c(noc1C)C)O2)[C@@H](C)CO,1.174581931,0.917638716,1.029640455,1.002446827,18123401
BRD-K76748254,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C[C@@H](C)[C@@H](CN(C)C(=O)C1CCCCC1)OCCCC[C@@H](C)O2)[C@@H](C)CO,0.959619082,1.028977879,1.018770265,0.943123215,18137226
BRD-K48681121,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)Cc1ccc(cc1)C(F)(F)F)NC(=O)Nc1c(noc1C)C,1.016654187,1.017179939,1.021225996,1.097103478,18164312
BRD-K01225247,Cc1nccc2c3ccc(cc3[nH]c12)O,0.943366291,0.953466674,1.017380306,0.852526692,18292812
BRD-K35818445,CN1[C@H]2CC[C@@H](CC(=O)N[C@@H]3CCN(C3)Cc3ccccc3)O[C@@H]2COc2ccc(cc2C1=O)NC(=O)c1cnccn1,0.858159494,0.999038487,0.982809251,0.965164364,18405207
BRD-K00185670,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2ccc(cc2)Cl)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1c(noc1C)C,1.039280441,0.971582059,0.978709303,1.057969121,18489342
BRD-K47314501,C[C@H]1CCCCO[C@H](CN(C)C(=O)c2ccncc2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)C1CCCCC1,0.946839055,0.977992485,1.003594582,1.010458034,18492556
BRD-K91769316,C[C@@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@H]1CN(C)S(=O)(=O)c1ccccc1)C#Cc1ccncc1,1.164483439,0.796106145,0.958131131,1.151344694,18692922
BRD-K51459966,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F)NC(=O)Nc1ccc(cc1)C(F)(F)F,0.962096561,0.994448102,1.013684935,0.948548536,18978024
BRD-K98207907,CCOC(=O)CNC(=O)c1cc(on1)C,0.930324273,1.046130456,1.009397695,1.028291107,19141108
BRD-K24843900,C[C@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@H]1CN(C)S(=O)(=O)c1ccc(cc1)Cl)NC(=O)Cn1cnnn1,0.992517026,1.008780642,0.999548269,0.96287526,19321709
BRD-K40243247,ONC(=O)CCCCCNC(=O)OCc1ccc(cc1)CO[C@H]1C[C@H](C=C(O1)C(=O)N1CCOCC1)c1ccc2c(c1)OCO2,0.994568416,1.055984209,0.988900355,0.908510743,19370154
BRD-K06608544,C[C@@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)Cc1ccccc1F)C#CC1CC1,1.502730179,1.006399024,1.017837832,1.029851213,19457793
BRD-K18225392,O[C@H]1COC[C@H]2O[C@H](CC[C@@H]2N(C1)S(=O)(=O)c1cccc(c1)Cl)CC(=O)NCc1ccncn1,0.939224268,1.105566776,0.967353709,1.027064949,19590743
BRD-K69110385,C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1ccc(cc1)C,0.933048728,0.792202517,0.966688617,0.965332999,19667542
BRD-K07657628,C[C@H]1CN([C@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)Cc1ccc2c(c1)OCO2)NC(=O)Nc1ccc(cc1)C(F)(F)F,0.650023465,0.975713589,0.609375829,1.011614769,19812595
BRD-K07755306,C[C@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2ccccc2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)c1ccccc1,1.208687434,1.019488858,1.047280851,0.892864804,20138585
BRD-K55478267,C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@@H]1CN(C)S(=O)(=O)C)-c1ccc(cc1)F,1.196889715,0.967669562,1.030157037,0.901572888,20225131
BRD-K15597370,Nc1ncnc(c1[N+](=O)[O-])NCCN1CCOCC1,1.002515563,0.93962616,0.99618534,0.993845327,20344817
BRD-K01114588,OC[C@@H]1O[C@H](C[C@H]2[C@@H]1Oc1ccc(cc12)NS(=O)(=O)c1ccc(cc1)F)CC(=O)NCCc1ccccc1,1.114172279,1.003161926,1.002167317,1.128782539,20385856
BRD-K75170527,C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)NC1CCCCC1,1.163253916,1.043363203,1.045673193,0.907435227,20606548
