Compound_ID,SMILES,Sau_R1_10uM,Sau_R2_10uM,Sau_Mean_10uM,HepG2_R1_10uM,HepG2_R2_10uM,HepG2_Mean_10uM,HSkMC_R1_10uM,HSkMC_R2_10uM,HSkMC_Mean_10uM,IMR90_R1_10uM,IMR90_R2_10uM,IMR90_Mean_10uM,Eco_stokes20_Mean,Abau_liu23_Mean
BRD-K88076043,O[C@@H]1COC[C@H]2O[C@@H](CC[C@@H]2N(C1)S(=O)(=O)c1ccc(cc1)Cl)CC(=O)NCC1CCCCC1,0.102095034,0.094562106,0.09832857,1.023373014,1.021234031,1.022303522,0.999689697,1.011689491,1.005689594,1.036320618,0.969200005,1.002760312,,
BRD-K09555199,CO[C@H](CN(C)C(=O)C1CCOCC1)[C@@H](C)CN([C@@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F,0.093160146,0.103668156,0.098414151,0.952230144,0.943552903,0.947891523,0.979501021,0.992060387,0.985780704,1.03145147,0.989108088,1.010279779,,
BRD-K04574057,Cn1cnc(c1)CCNC(=O)C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2C(=O)Nc2ccc(cc2)C(F)(F)F)O1,0.097891118,0.09971997,0.098805544,1.004526733,0.994554955,0.999540844,1.007959718,1.015229756,1.011594737,0.9190745,0.9780366,0.94855555,,
BRD-K78206682,O=C1NC(=O)C=C1,0.097003003,0.100667003,0.098835003,0.076547875,0.079459641,0.078003758,0.090317853,0.072572966,0.081445409,1.028487585,1.011746816,1.020117201,,
BRD-K16547679,CC(C)[C@@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(ccc(c4N=C32)C(=O)N[C@H]2[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]3CCCN3C(=O)[C@@H](NC2=O)C(C)C)C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O,0.102072076,0.095767363,0.09891972,0.651153352,0.639917025,0.645535189,0.925299048,0.95477808,0.940038564,0.072750405,0.226120127,0.149435266,,
BRD-K67187348,CO[C@H]1[C@@H](CC(=O)O[C@H](C)C/C=C\C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(=O)C,0.103545535,0.094551555,0.099048545,0.963463879,0.954834029,0.959148954,1.002032667,0.992988347,0.997510507,0.979098653,1.063112532,1.021105593,,
BRD-A66566045,CO[C@@H]1C[C@@H](C[C@H]2CC[C@H](C)[C@@H](O2)[C@@H](C)C(=O)O)O[C@]2(O[C@@](C)(C[C@H]2C)[C@H]2CC[C@](C)(O2)[C@H]2O[C@H](C[C@@H]2C)[C@H]2O[C@@](O)(CO)[C@H](C)C[C@@H]2C)[C@@H]1C,0.096522145,0.101969239,0.099245692,0.757333663,0.723343664,0.740338664,0.831728906,0.956941108,0.894335007,0.273661759,0.204607596,0.239134678,,
BRD-K32376165,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C[C@]13CN(CC2CCCCC2)C1)C(=O)Nc1cccc(c1)F,0.094742793,0.104152302,0.099447547,0.089803904,0.149486527,0.119645215,0.041279997,0.066641886,0.053960941,0.080119142,0.073939242,0.077029192,,
BRD-A45118945,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@]2(CO2)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]1C,0.099611911,0.099350951,0.099481431,0.82169164,1.053103445,0.937397542,1.001435269,0.99732665,0.999380959,1.079339816,1.055494415,1.067417116,,
BRD-K00003450,C[n+]1ccn(n1)C[C@@]1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O,0.101647792,0.098280762,0.099964277,0.967764216,0.97631471,0.972039463,1.007038253,1.008876287,1.00795727,0.963882305,1.003350005,0.983616155,,
BRD-K59396522,C[C@H]1CN([C@@H](C)CO)C(=O)CCCn2nncc2CO[C@@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F,0.099890134,0.100438908,0.100164521,1.165804401,1.069666921,1.117735661,1.040855676,1.078975178,1.059915427,0.839466614,0.876032,0.857749307,,
BRD-K38684403,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,0.103262126,0.09734669,0.100304408,0.99098609,0.958283465,0.974634777,0.970708249,0.962947041,0.966827645,0.915098235,0.907458167,0.911278201,,
BRD-K68421632,C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2cc(nn2)CO[C@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F,0.100343819,0.101241596,0.100792708,0.982124756,0.995145818,0.988635287,0.97022534,0.973846147,0.972035743,1.016447351,1.058585146,1.037516249,,
BRD-K51471001,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C)C(=O)Oc1cccc(c1)[N+](C)(C)C,0.09920621,0.103450672,0.101328441,1.065215459,0.996879022,1.03104724,0.970551874,0.936882497,0.953717186,0.863029888,0.925853356,0.894441622,,
BRD-K68555964,CC(C)[Si](O[C@H](c1ccccc1)c1cn(nn1)Cc1cccc(c1)Cl)(C#CCCCC#N)C(C)C,0.098860118,0.103881373,0.101370745,0.928693313,0.915612203,0.922152758,0.99413127,0.991471865,0.992801567,0.992086765,0.944790436,0.968438601,,
BRD-A69947696,C[C@@H]1[C@H](O)CC[C@@]2(C)[C@@H]1CC[C@@]1(C)[C@H]2[C@H](O)C[C@H]2C(=C(CCC=C(C)C)C(=O)O)[C@H](C[C@@]21C)OC(=O)C,0.099214641,0.104139496,0.101677069,1.006807215,0.989704453,0.998255834,1.013684466,1.015076559,1.014380513,0.981309288,0.998883699,0.990096494,,
BRD-K27105764,COc1ccccc1CNC(=O)C[C@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2C(=O)Nc2ccc(cc2)Cl)O1,0.10193185,0.101544961,0.101738405,0.992715723,0.974053436,0.98338458,1.01413409,1.012928727,1.013531409,1.044248793,1.015315491,1.029782142,,
BRD-K06817684,O[C@H]1COC[C@@H]2O[C@H](CC[C@H]2N(C1)S(=O)(=O)c1ccc(cc1)Cl)CC(=O)NCC1CCCCC1,0.103431818,0.10202284,0.102727329,1.071581318,1.054029942,1.06280563,0.977746642,0.975762588,0.976754615,1.036666912,1.010327389,1.023497151,,
BRD-A06935312,C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)[C@@H]2[C@H](O)C[C@H]2/C(=C(/CCC=C(C)C)C(=O)O)[C@H](C[C@@]21C)OC(=O)C,0.105494273,0.10020383,0.102849052,1.00766635,0.9970292,1.002347775,0.989335716,0.987806311,0.988571014,1.060884615,1.035040942,1.047962779,,
BRD-K34234316,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.105378947,0.101727135,0.103553041,0.772855957,0.739132393,0.755994175,0.916045522,0.904862068,0.910453795,0.554247779,0.813258995,0.683753387,,
BRD-K98357249,CN([C@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)c1cc(cc(c1)C)C,0.107870952,0.099694518,0.103782735,0.976894632,1.00412051,0.990507571,1.022747442,1.023398102,1.023072772,0.955214362,0.990449106,0.972831734,,
BRD-K85821470,CNC[C@H]1OCCCC[C@@H](C)Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)NC(=O)Nc1ccc(cc1)C(F)(F)F,0.097640169,0.110023841,0.103832005,1.042235836,1.073594028,1.057914932,0.969128282,0.972012368,0.970570325,1.030133084,1.030563432,1.030348258,,
BRD-K01825574,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC1=NC(=O)C(=NN1C)O)c1csc(n1)N,0.099120355,0.109233531,0.104176943,1.029062898,1.051682207,1.040372553,0.977023886,0.978725007,0.977874446,1.073810284,1.033882205,1.053846245,,
BRD-K60931454,CC(C)Oc1cccc(c1)CC(=O)N1CCC[C@@](CC[N+]23CCC(CC2)(CC3)c2ccccc2)(C1)c1ccc(c(c1)Cl)Cl,0.106194452,0.102683862,0.104439157,1.062790432,1.052444882,1.057617657,1.013317396,1.003644949,1.008481173,1.01618266,1.036133374,1.026158017,,
BRD-K53788420,Oc1ccc(cc1)C1(CCC(F)(F)CC1)c1ccccc1F,0.104474704,0.10478804,0.104631372,1.044843513,1.046282344,1.045562929,0.991904198,0.963673822,0.97778901,0.985989675,1.054404992,1.020197334,,
BRD-K35905185,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@H]1CN(C)C(=O)Nc1ccc(cc1)C(F)(F)F)NS(=O)(=O)C,0.102982066,0.106539557,0.104760811,1.170075974,1.006378185,1.08822708,0.966081923,0.975330297,0.97070611,1.037286822,0.956727557,0.99700719,,
BRD-K76931353,CO[C@H](CN(C)C(=O)C1CCOCC1)[C@H](C)CN([C@@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F,0.104892158,0.104785036,0.104838597,1.051779694,0.988108541,1.019944117,1.035649346,1.036920073,1.03628471,0.948443914,0.951262565,0.94985324,,
BRD-K32972113,OCCN(CCO)c1ccc(c2no[n+](c12)[O-])[N+](=O)[O-],0.102705449,0.107299027,0.105002238,0.278016488,0.323486001,0.300751244,0.846504254,0.823290596,0.834897425,0.208040733,0.267787706,0.23791422,,
BRD-K23760468,O[C@@H]1COC[C@H]2O[C@H](CC[C@@H]2N(C1)C(=O)Nc1ccc(cc1)C(F)(F)F)CC(=O)NCCc1ccncc1,0.100896266,0.109306717,0.105101491,1.086083337,1.022863937,1.054473637,1.006391755,1.012240682,1.009316219,1.025338703,1.032263729,1.028801216,,
BRD-K00003142,N[C@@H]1CC[C@@H](c2ccc(c(c2)Cl)Cl)c2ccccc21,0.108320513,0.102384793,0.105352653,0.100536227,0.126684901,0.113610564,0.544795534,0.546547416,0.545671475,0.835635805,0.846156694,0.84089625,,
BRD-K53272350,CO[C@@H](CN(C)S(=O)(=O)c1cn(cn1)C)[C@@H](C)CN([C@@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F,0.101477457,0.109665136,0.105571297,0.97753373,0.995160421,0.986347076,0.999135131,0.979361792,0.989248461,0.944062643,0.954300332,0.949181488,,
BRD-K87253961,COc1ccccc1CNC(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2C(=O)Nc2ccc(cc2)Cl)O1,0.106120902,0.105121469,0.105621185,0.997695601,0.99709063,0.997393116,0.987962721,1.001025169,0.994493945,1.088872388,1.109825377,1.099348883,,
BRD-K13400061,CO[C@@H](CN(C)C(=O)C1CCOCC1)[C@@H](C)CN([C@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F,0.10385796,0.107456194,0.105657077,0.984377121,1.035549733,1.009963427,0.977537731,0.975906506,0.976722118,0.986474776,1.016251905,1.001363341,,
BRD-K27798832,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)c1csc(n1)N,0.108098089,0.1032488,0.105673445,0.979632947,0.980155846,0.979894396,1.043945178,1.010008205,1.026976691,1.044533235,1.01174451,1.028138873,,
BRD-A12097279,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.108864946,0.103101355,0.105983151,1.027274283,1.020557551,1.023915917,1.010047779,1.011587561,1.01081767,1.100148263,1.08483066,1.092489462,,
BRD-K00003175,C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)c1ccccc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,0.110583408,0.101484762,0.106034085,0.960918782,0.98709469,0.974006736,1.026429404,1.022225513,1.024327459,1.002742809,0.972839697,0.987791253,,
